Priority,Company,Role,Location,Comp Range,Fit Score,Status,Application Drafted?,Date Applied,Warm Intro Path,Referral Contact,Follow-Up Date,Response,Interview Stage,Next Step,Notes,Application File,Job Link
1,beatBread,CEO,Remote / SF,$400-600K + equity,⭐⭐⭐⭐⭐,First Call Done ✅,✅,,Sun @ Nfluence Partners,"Ishan Sachdev (GP, Deciens Capital)",,Positive — call went well,1st Call Complete,Wait for next steps from Ishan,Music fintech. Revenue-based financing for musicians. Deciens Capital portfolio.,call-prep-deciens.md,beatbread.com
2,Cohere,Head of Global Partner Ecosystem,San Francisco,$350-500K+,⭐⭐⭐⭐⭐,Not Applied,✅ Ready,,Check LinkedIn 2nd degree,,,,,APPLY TODAY,AI company. Angel Club IS a partner ecosystem.,applications/cohere-partner-ecosystem.md,linkedin.com/jobs/view/4387901127
3,Mastercard,Principal BD — Digital Wallet,California Remote,$300-500K+,⭐⭐⭐⭐⭐,Not Applied,❌ Need to draft,,3 connections work there,,,,,APPLY TODAY,Fintech BD. 2 days old. Early applicant window.,,
4,Morgan Stanley,Family Office Business Development,San Francisco,$400-600K+,⭐⭐⭐⭐⭐,Not Applied,❌ Need to draft,,3 connections work there,,,,,APPLY TODAY,Family office BD = your LP/UHNW network. 5 days old.,,
5,Temasek,Director Emerging Technologies,SF / Singapore,$400-600K+,⭐⭐⭐⭐⭐,Not Applied,✅ Ready,,HTW Sovereign Funds network,,,,,Apply Friday,$382B sovereign wealth fund. Posted 6 days ago.,applications/temasek-emerging-tech.md,
6,Right Side Capital,Principal Capital Formation,San Francisco,$250-400K+,⭐⭐⭐⭐⭐,Not Applied,✅ Ready,,Dave Lambert — 62 mutual connections!,,,,,Apply Friday,Capital formation = Nfluence work. WARM PATH.,applications/rscm-capital-formation.md,
7,Airwallex,Director Corp Dev & IR,San Francisco,$350-500K+,⭐⭐⭐⭐⭐,Not Applied,❌ Need to draft,,Check LinkedIn,,,,,Apply Friday,$5.6B fintech. M&A + IR = Nfluence work. 2 weeks old.,,
8,Anthropic,Head of GTM Narrative,SF / NYC,$350-500K+,⭐⭐⭐⭐,Not Applied,✅ Ready,,HTW / Positive Tech network,,,,,Apply next week,Keynote + storytelling = rare combo.,applications/anthropic-gtm-narrative.md,
9,Skai,Growth Director,SF Hybrid,$300-400K+,⭐⭐⭐⭐,Not Applied,❌ Need to draft,,,,,,,Apply next week,Martech/AI platform. Growth Director = your CGO lane.,,
10,Redesign Health,MD AI Venture Buyouts,NYC / SF,$400-700K+,⭐⭐⭐⭐,Not Applied,✅ Ready,,Check LinkedIn,,,,,Apply next week,Health + AI + M&A. Actively hiring.,applications/redesign-health-md.md,
11,Roku,Director Content Distribution,Santa Monica,$350-500K+,⭐⭐⭐⭐,Not Applied,❌ Need to draft,,2 connections there,,,,,Apply next week,MTV/BBC media background. Easy Apply.,,
12,Datadog,Director Channels — Global SI,SF / Boston,$300-400K+,⭐⭐⭐⭐,Not Applied,❌ Need to draft,,4 connections,,,,,Apply next week,"LinkedIn says ""top applicant."" $5B+ company.",,
13,BetterUp,VP Key Accounts EMEA,London,$400-550K,⭐⭐⭐⭐,Not Applied,✅ Ready,,BBC/MTV UK network,,,,,Apply next week,Human potential IS their thesis.,applications/betterup-vp-emea.md,
14,Adams Street Partners,VP Primary,Menlo Park,$400-600K+,⭐⭐⭐⭐,Not Applied,✅ Ready,,Check LP network,,,,,Apply next week,$54B fund-of-funds.,applications/adams-street-vp.md,
15,Moderne Ventures,Venture Partner,Chicago/NYC/SF,$150-300K + carry,⭐⭐⭐⭐,Not Applied,✅ Ready,,Check VC network,,,,,Stackable — apply anytime,Part-time. STACKABLE with other roles.,applications/moderne-venture-partner.md,
—,Bonanno Entertainment,Advisor,,Advisory equity + retainer,⭐⭐⭐⭐,Exploring,N/A,,,,,,,Follow up on advisory terms,Entertainment. Advisory role — not a job.,,
—,CountryLine,Advisor / Fractional CGO,UK / Remote,$10-15K/mo + 1-3% equity,⭐⭐⭐⭐,Post-call,N/A,,"Simon Walker (CEO), Nathalie (co-founder)",,,,,Follow up on terms,Music fan platform. Advisory/fractional — not a job.,countryline/call-prep.md,countryline.tv
